name,id,recclass,mass,fall,year,reclat,reclong,point coordinates
Domanitch,7661,L5,438.0,Fell,1907-01-01,40.0,29.0,"[40.0, 29.0]"
Dong Ujimqin Qi,7706,Mesosiderite,128800.0,Fell,1995-01-01,45.5,119.03333,"[45.5, 119.03333]"
Donga Kohrod,7707,H6,230.0,Fell,1899-01-01,21.86667,82.45,"[21.86667, 82.45]"
Dongtai,7708,LL6,5500.0,Fell,1970-01-01,32.91667,120.78333,"[32.91667, 120.78333]"
Doroninsk,7718,H5-7,3891.0,Fell,1805-01-01,51.2,112.3,"[51.2, 112.3]"
Dosso,7722,L6,1250.0,Fell,1962-01-01,13.05,3.16667,"[13.05, 3.16667]"
Douar Mghila,7723,LL6,1161.0,Fell,1932-01-01,32.33333,-6.3,"[32.33333, -6.3]"
Dowa,7725,Stone-uncl,642.0,Fell,1976-01-01,-13.66667,33.91667,"[-13.66667, 33.91667]"
Drake Creek,7728,L6,5000.0,Fell,1827-01-01,36.4,-86.5,"[36.4, -86.5]"
Dresden (Ontario),7731,H6,47700.0,Fell,1939-01-01,42.52,-82.26,"[42.52, -82.26]"
Dubrovnik,7736,L3-6,1900.0,Fell,1951-01-01,42.45833,18.44167,"[42.45833, 18.44167]"
Dunbogan,7743,L6,30.0,Fell,1999-01-01,-31.66667,152.83333,"[-31.66667, 152.83333]"
Dundrum,7745,H5,2270.0,Fell,1865-01-01,52.55,-8.03333,"[52.55, -8.03333]"
Durala,7750,L6,13200.0,Fell,1815-01-01,30.3,76.63333,"[30.3, 76.63333]"
Duruma,7752,L6,577.0,Fell,1853-01-01,-4.0,39.5,"[-4.0, 39.5]"
Duwun,7754,L6,2117.0,Fell,1943-01-01,33.43333,127.26667,"[33.43333, 127.26667]"
Dwaleni,7755,H4-6,3230.0,Fell,1970-01-01,-27.2,31.31667,"[-27.2, 31.31667]"
Dyalpur,7757,Ureilite,300.0,Fell,1872-01-01,26.25,82.0,"[26.25, 82.0]"
Dyarrl Island,7758,Mesosiderite-A1,188.0,Fell,1933-01-01,-3.0,151.0,"[-3.0, 151.0]"
Eagle,7760,EL6,10000.0,Fell,1947-01-01,40.78167,-96.47167,"[40.78167, -96.47167]"
Ehole,7774,H5,2400.0,Fell,1961-01-01,-17.3,15.83333,"[-17.3, 15.83333]"
Eichstädt,7775,H5,3000.0,Fell,1785-01-01,48.9,11.21667,"[48.9, 11.21667]"
Ekeby,7776,H4,3336.0,Fell,1939-01-01,56.03333,13.0,"[56.03333, 13.0]"
Ekh Khera,7777,H6,840.0,Fell,1916-01-01,28.26667,78.78333,"[28.26667, 78.78333]"
El Idrissia,7807,L6,10000.0,Fell,1989-01-01,34.41667,3.25,"[34.41667, 3.25]"
El Paso de Aguila,45977,H5,17226.0,Fell,1977-01-01,25.37,-97.37,"[25.37, -97.37]"
El Tigre,7819,L6,5000.0,Fell,1993-01-01,19.96722,-103.05167,"[19.96722, -103.05167]"
Elbert,7822,LL6,680.5,Fell,1998-01-01,39.24667,-104.58817,"[39.24667, -104.58817]"
Elbogen,7823,"Iron, IID",107000.0,Fell,1400-01-01,50.18333,12.73333,"[50.18333, 12.73333]"
Elenovka,7824,L5,54640.0,Fell,1951-01-01,47.83333,37.66667,"[47.83333, 37.66667]"
Ellemeet,10019,Diogenite,1470.0,Fell,1925-01-01,51.75,4.0,"[51.75, 4.0]"
Emmaville,10033,Eucrite-mmict,127.0,Fell,1900-01-01,-29.46667,151.61667,"[-29.46667, 151.61667]"
Enshi,10038,H5,8000.0,Fell,1974-01-01,30.3,109.5,"[30.3, 109.5]"
Ensisheim,10039,LL6,127000.0,Fell,1492-01-01,47.86667,7.35,"[47.86667, 7.35]"
Épinal,10041,H5,277.0,Fell,1822-01-01,48.18333,6.46667,"[48.18333, 6.46667]"
Erakot,10042,CM2,113.0,Fell,1940-01-01,19.03333,81.89167,"[19.03333, 81.89167]"
Erevan,10043,Howardite,107.2,Fell,1911-01-01,40.3,44.5,"[40.3, 44.5]"
Ergheo,10044,L5,20000.0,Fell,1889-01-01,1.16667,44.16667,"[1.16667, 44.16667]"
Erxleben,10049,H6,2250.0,Fell,1812-01-01,52.21667,11.25,"[52.21667, 11.25]"
Esnandes,10051,L6,1500.0,Fell,1837-01-01,46.25,-1.1,"[46.25, -1.1]"
Essebi,10055,C2-ung,500.0,Fell,1957-01-01,2.88333,30.83333,"[2.88333, 30.83333]"
Estherville,10059,Mesosiderite-A3/4,320000.0,Fell,1879-01-01,43.41667,-94.83333,"[43.41667, -94.83333]"
Farmington,10074,L5,89400.0,Fell,1890-01-01,39.75,-97.03333,"[39.75, -97.03333]"
Farmville,10075,H4,56000.0,Fell,1934-01-01,35.55,-77.53333,"[35.55, -77.53333]"
Favars,10078,H5,1500.0,Fell,1844-01-01,44.38333,2.81667,"[44.38333, 2.81667]"
Fayetteville,10079,H4,2360.0,Fell,1934-01-01,36.05,-94.16667,"[36.05, -94.16667]"
Feid Chair,10080,H4,380.0,Fell,1875-01-01,36.88333,8.45,"[36.88333, 8.45]"
Felix,10081,CO3.3,3200.0,Fell,1900-01-01,32.53333,-87.16667,"[32.53333, -87.16667]"
Fenghsien-Ku,10086,H5,82.0,Fell,1924-01-01,34.6,116.75,"[34.6, 116.75]"
Ferguson,10088,OC,220.0,Fell,1889-01-01,36.1,-81.41667,"[36.1, -81.41667]"
Fermo,10091,H3-5,10200.0,Fell,1996-01-01,43.18111,13.75333,"[43.18111, 13.75333]"
Fisher,10107,L6,17600.0,Fell,1894-01-01,47.81667,-96.85,"[47.81667, -96.85]"
Florence,10111,H3,3640.0,Fell,1922-01-01,30.83333,-97.76667,"[30.83333, -97.76667]"
Forest City,10119,H5,152000.0,Fell,1890-01-01,43.25,-93.66667,"[43.25, -93.66667]"
Forest Vale,10120,H4,26000.0,Fell,1942-01-01,-33.35,146.85833,"[-33.35, 146.85833]"
Forksville,10123,L6,6067.0,Fell,1924-01-01,36.78333,-78.08333,"[36.78333, -78.08333]"
Forsbach,10163,H6,240.0,Fell,1900-01-01,50.95,7.31667,"[50.95, 7.31667]"
Forsyth,10164,L6,16300.0,Fell,1829-01-01,33.01667,-83.96667,"[33.01667, -83.96667]"
Frankfort (stone),10177,Howardite,650.0,Fell,1868-01-01,34.48333,-87.83333,"[34.48333, -87.83333]"
Fuhe,52412,L5,23000.0,Fell,1945-01-01,31.47556,113.56694,"[31.47556, 113.56694]"
Fukutomi,10836,L5,11620.0,Fell,1882-01-01,33.18333,130.2,"[33.18333, 130.2]"
Futtehpur,10839,L6,4000.0,Fell,1822-01-01,25.95,80.81667,"[25.95, 80.81667]"
Fuyang,10840,Stone-uncl,2500.0,Fell,1977-01-01,32.9,115.9,"[32.9, 115.9]"
Galapian,10846,H6,132.7,Fell,1826-01-01,44.3,0.4,"[44.3, 0.4]"
Galim (a),10848,LL6,36.1,Fell,1952-01-01,7.05,12.43333,"[7.05, 12.43333]"
Galim (b),10849,EH3/4-an,28.0,Fell,1952-01-01,7.05,12.43333,"[7.05, 12.43333]"
Galkiv,10850,H4,5000.0,Fell,1995-01-01,51.68333,30.78333,"[51.68333, 30.78333]"
Gambat,10851,L6,6400.0,Fell,1897-01-01,27.35,68.53333,"[27.35, 68.53333]"
Garhi Yasin,10860,"Iron, IIE",380.0,Fell,1917-01-01,27.88333,68.53333,"[27.88333, 68.53333]"
Garland,10861,Diogenite-pm,102.0,Fell,1950-01-01,41.68333,-112.13333,"[41.68333, -112.13333]"
Gashua,44882,L6,4162.0,Fell,1984-01-01,12.85,11.03333,"[12.85, 11.03333]"
Geidam,10870,H5,725.0,Fell,1950-01-01,12.91667,11.91667,"[12.91667, 11.91667]"
Gifu,10914,L6,14290.0,Fell,1909-01-01,35.53333,136.88333,"[35.53333, 136.88333]"
Girgenti,10917,L6,18000.0,Fell,1853-01-01,37.31667,13.56667,"[37.31667, 13.56667]"
Git-Git,10919,L6,480.0,Fell,1947-01-01,9.6,9.91667,"[9.6, 9.91667]"
Glanerbrug,10923,L/LL5,670.0,Fell,1990-01-01,52.2,6.86667,"[52.2, 6.86667]"
Glanggang,10924,H5-6,1303.0,Fell,1939-01-01,-7.25,107.7,"[-7.25, 107.7]"
Glasatovo,10926,H4,152000.0,Fell,1918-01-01,57.35,37.61667,"[57.35, 37.61667]"
Glatton,10930,L6,767.0,Fell,1991-01-01,52.45972,-0.3,"[52.45972, -0.3]"
Gnadenfrei,10936,H5,1750.0,Fell,1879-01-01,50.66667,16.76667,"[50.66667, 16.76667]"
Gopalpur,10948,H6,1600.0,Fell,1865-01-01,24.23333,89.05,"[24.23333, 89.05]"
Gorlovka,10949,H3.7,3618.0,Fell,1974-01-01,48.28333,38.08333,"[48.28333, 38.08333]"
Granes,10956,L6,9000.0,Fell,1964-01-01,42.9,2.25,"[42.9, 2.25]"
Grefsheim,11196,L5,45.5,Fell,1976-01-01,60.66667,11.0,"[60.66667, 11.0]"
Grimsby,50911,H5,215.0,Fell,2009-01-01,43.2,-79.61667,"[43.2, -79.61667]"
Grosnaja,11206,CV3,3500.0,Fell,1861-01-01,43.66667,45.38333,"[43.66667, 45.38333]"
Gross-Divina,11207,H5,10500.0,Fell,1837-01-01,49.26667,18.71667,"[49.26667, 18.71667]"
Grossliebenthal,11208,L6,8000.0,Fell,1881-01-01,46.35,30.58333,"[46.35, 30.58333]"
Grüneberg,11426,H4,1000.0,Fell,1841-01-01,51.93333,15.5,"[51.93333, 15.5]"
Grzempach,11429,H5,690.0,Fell,1910-01-01,52.86667,16.63333,"[52.86667, 16.63333]"
Gualeguaychú,11432,H6,22000.0,Fell,1932-01-01,-33.0,-58.61667,"[-33.0, -58.61667]"
Guangmingshan,11435,H5,2910.0,Fell,1996-01-01,39.80417,122.76389,"[39.80417, 122.76389]"
Guangrao,11437,L6,1900.0,Fell,1980-01-01,37.1,118.4,"[37.1, 118.4]"
Guareña,11439,H6,39000.0,Fell,1892-01-01,38.73333,-6.01667,"[38.73333, -6.01667]"
Guêa,11440,Stone-uncl,1915.0,Fell,1891-01-01,43.76667,20.23333,"[43.76667, 20.23333]"
Guibga,11442,L5,288.0,Fell,1972-01-01,13.5,-0.68333,"[13.5, -0.68333]"
Guidder,11443,LL5,968.0,Fell,1949-01-01,9.91667,13.98333,"[9.91667, 13.98333]"
Gujargaon,11448,H5,2449.0,Fell,1982-01-01,22.98333,76.05,"[22.98333, 76.05]"
Gujba,11449,CBa,100000.0,Fell,1984-01-01,11.49167,11.65833,"[11.49167, 11.65833]"
Gumoschnik,11450,H5,5700.0,Fell,1904-01-01,42.9,24.7,"[42.9, 24.7]"
Gurram Konda,11464,L6,28.0,Fell,1814-01-01,13.78333,78.56667,"[13.78333, 78.56667]"
Gursum,11465,H4/5,34650.0,Fell,1981-01-01,9.36667,42.41667,"[9.36667, 42.41667]"
Gütersloh,11466,H3/4,1000.0,Fell,1851-01-01,51.91667,8.38333,"[51.91667, 8.38333]"
Gyokukei,11467,OC,1320.0,Fell,1930-01-01,35.0,127.5,"[35.0, 127.5]"
Hachi-oji,11468,H?,0.2,Fell,1817-01-01,35.65,139.33333,"[35.65, 139.33333]"
Hainaut,11472,H3-6,9000.0,Fell,1934-01-01,50.31667,3.73333,"[50.31667, 3.73333]"
Hallingeberg,11479,L3.4,1456.0,Fell,1944-01-01,57.81667,16.23333,"[57.81667, 16.23333]"
Hamlet,11485,LL4,3710.0,Fell,1959-01-01,41.38333,-86.6,"[41.38333, -86.6]"
Haraiya,11824,Eucrite-mmict,1000.0,Fell,1878-01-01,26.8,82.53333,"[26.8, 82.53333]"
Haripura,11829,CM2,315.0,Fell,1921-01-01,28.38333,75.78333,"[28.38333, 75.78333]"
Harleton,11830,L6,8360.0,Fell,1961-01-01,32.675,-94.51167,"[32.675, -94.51167]"
Harrison County,11842,L6,680.0,Fell,1859-01-01,38.25,-86.16667,"[38.25, -86.16667]"
Hashima,11848,H4,1110.6,Fell,1910-01-01,35.2945,136.70033,"[35.2945, 136.70033]"
Hassi-Jekna,11852,"Iron, IAB-sHL",1250.0,Fell,1890-01-01,28.95,0.81667,"[28.95, 0.81667]"
Hatford,11855,Stone-uncl,29000.0,Fell,1628-01-01,51.65,-1.51667,"[51.65, -1.51667]"
Haverö,11859,Ureilite,1544.0,Fell,1971-01-01,60.24556,22.06194,"[60.24556, 22.06194]"
Hedeskoga,11869,H5,3500.0,Fell,1922-01-01,55.46667,13.78333,"[55.46667, 13.78333]"
Hedjaz,11870,L3.7-6,6100.0,Fell,1910-01-01,27.33333,35.66667,"[27.33333, 35.66667]"
Heredia,11875,H5,1000.0,Fell,1857-01-01,10.0,-84.1,"[10.0, -84.1]"
Hessle,11878,H5,20000.0,Fell,1869-01-01,59.85,17.66667,"[59.85, 17.66667]"
Higashi-koen,11883,H5,750.0,Fell,1897-01-01,33.6,130.43333,"[33.6, 130.43333]"
High Possil,11884,L6,4500.0,Fell,1804-01-01,55.9,-4.23333,"[55.9, -4.23333]"
Hiroshima,11889,H5,414.0,Fell,2003-01-01,34.45,132.38333,"[34.45, 132.38333]"
Hoima,44714,H6,167.7,Fell,2003-01-01,1.345,31.47278,"[1.345, 31.47278]"
Hökmark,11893,L4,305.5,Fell,1954-01-01,64.43333,21.2,"[64.43333, 21.2]"
Holbrook,11894,L/LL6,220000.0,Fell,1912-01-01,34.9,-110.18333,"[34.9, -110.18333]"
Holetta,11895,Stone-uncl,1415.0,Fell,1923-01-01,9.06667,38.41667,"[9.06667, 38.41667]"
Homestead,11901,L5,230000.0,Fell,1875-01-01,41.8,-91.86667,"[41.8, -91.86667]"
Honolulu,11904,L5,2420.0,Fell,1825-01-01,21.3,-157.86667,"[21.3, -157.86667]"
Hotse,11913,L6,180.0,Fell,1956-01-01,35.66667,115.5,"[35.66667, 115.5]"
Hoxie,11915,OC,266.1,Fell,1963-01-01,39.35,-100.45,"[39.35, -100.45]"
Hraschina,11916,"Iron, IID",49000.0,Fell,1751-01-01,46.1,16.33333,"[46.1, 16.33333]"
Huaxi,54719,H5,1600.0,Fell,2010-01-01,26.46469,106.63241,"[26.46469, 106.63241]"
Hungen,11986,H6,112.0,Fell,1877-01-01,50.3,8.91667,"[50.3, 8.91667]"
Hvittis,11989,EL6,14000.0,Fell,1901-01-01,61.18333,22.68333,"[61.18333, 22.68333]"
Ibbenbüren,11992,Diogenite,2000.0,Fell,1870-01-01,52.28333,7.7,"[52.28333, 7.7]"
Ibitira,11993,Eucrite-mmict,2500.0,Fell,1957-01-01,-20.0,-45.0,"[-20.0, -45.0]"
Ichkala,11995,H6,3973.0,Fell,1936-01-01,58.2,82.93333,"[58.2, 82.93333]"
Idutywa,12000,H5,3457.0,Fell,1956-01-01,-32.1,28.33333,"[-32.1, 28.33333]"
Iguaracu,12003,H5,1200.0,Fell,1977-01-01,-23.2,-51.83333,"[-23.2, -51.83333]"
Ijopega,12004,H6,7330.0,Fell,1975-01-01,-6.03333,145.36667,"[-6.03333, 145.36667]"
Indarch,12027,EH4,27000.0,Fell,1891-01-01,39.75,46.66667,"[39.75, 46.66667]"
Independence,12028,L6,880.0,Fell,1917-01-01,39.08333,-94.4,"[39.08333, -94.4]"
Inner Mongolia,12037,L6,3000.0,Fell,1963-01-01,41.0,112.0,"[41.0, 112.0]"
Innisfree,12039,L5,4576.0,Fell,1977-01-01,53.415,-111.3375,"[53.415, -111.3375]"
Ipiranga,12043,H6,7000.0,Fell,1972-01-01,-25.5,-54.5,"[-25.5, -54.5]"
Ishinga,12049,H,1300.0,Fell,1954-01-01,-8.93333,33.8,"[-8.93333, 33.8]"
Isthilart,12053,H5,3050.0,Fell,1928-01-01,-31.18333,-57.95,"[-31.18333, -57.95]"
Itapicuru-Mirim,12056,H5,2024.0,Fell,1879-01-01,-3.4,-44.33333,"[-3.4, -44.33333]"
Itqiy,12058,EH7-an,4720.0,Fell,1990-01-01,26.59083,-12.95217,"[26.59083, -12.95217]"
Ivuna,12063,CI1,704.5,Fell,1938-01-01,-8.41667,32.43333,"[-8.41667, 32.43333]"
Jackalsfontein,12065,L6,48000.0,Fell,1903-01-01,-32.5,21.9,"[-32.5, 21.9]"
Jajh deh Kot Lalu,12067,EL6,973.0,Fell,1926-01-01,26.75,68.41667,"[26.75, 68.41667]"
Jalandhar,12069,Iron,1967.0,Fell,1621-01-01,31.0,75.0,"[31.0, 75.0]"
Jamkheir,12072,H6,22.0,Fell,1866-01-01,18.75,75.33333,"[18.75, 75.33333]"
Jartai,12074,L6,20500.0,Fell,1979-01-01,39.7,105.8,"[39.7, 105.8]"
Jelica,12078,LL6,34000.0,Fell,1889-01-01,43.83333,20.44167,"[43.83333, 20.44167]"
Jesenice,51589,L6,3667.0,Fell,2009-01-01,46.42137,14.05217,"[46.42137, 14.05217]"
Jhung,12085,L5,5900.0,Fell,1873-01-01,31.3,72.38333,"[31.3, 72.38333]"
Jiange,12086,H5,222.0,Fell,1964-01-01,31.91667,104.91667,"[31.91667, 104.91667]"
Jianshi,12087,"Iron, IIIAB",600000.0,Fell,1890-01-01,30.80833,109.5,"[30.80833, 109.5]"
Jilin,12171,H5,4000000.0,Fell,1976-01-01,44.05,126.16667,"[44.05, 126.16667]"
Jodiya,47362,L5,100.0,Fell,2006-01-01,22.68,70.31333,"[22.68, 70.31333]"
Jodzie,12173,Howardite,30.0,Fell,1877-01-01,55.7,24.4,"[55.7, 24.4]"
Johnstown,12198,Diogenite,40300.0,Fell,1924-01-01,40.35,-104.9,"[40.35, -104.9]"
Jolomba,12199,LL6,483.0,Fell,1974-01-01,-11.85,15.83333,"[-11.85, 15.83333]"
Jonzac,12202,Eucrite-mmict,5000.0,Fell,1819-01-01,45.43333,-0.45,"[45.43333, -0.45]"
Juancheng,12203,H5,100000.0,Fell,1997-01-01,35.5,115.41667,"[35.5, 115.41667]"
Judesegeri,12207,H6,680.0,Fell,1876-01-01,12.85,76.8,"[12.85, 76.8]"
Jumapalo,12209,L6,32490.0,Fell,1984-01-01,-7.71667,111.2,"[-7.71667, 111.2]"
Junan,12210,L6,950.0,Fell,1976-01-01,35.2,118.8,"[35.2, 118.8]"
Juromenha,12213,"Iron, IIIAB",25250.0,Fell,1968-01-01,38.74028,-7.27,"[38.74028, -7.27]"
Juvinas,12214,Eucrite-mmict,91000.0,Fell,1821-01-01,44.71667,4.3,"[44.71667, 4.3]"
Kaba,12218,CV3,3000.0,Fell,1857-01-01,47.35,21.3,"[47.35, 21.3]"
Kabo,12220,H4,13400.0,Fell,1971-01-01,11.85,8.21667,"[11.85, 8.21667]"
Kadonah,12221,H6,89.0,Fell,1822-01-01,27.08333,78.33333,"[27.08333, 78.33333]"
Kaee,12222,H5,230.0,Fell,1838-01-01,27.25,79.96667,"[27.25, 79.96667]"
Kagarlyk,12227,L6,1900.0,Fell,1908-01-01,49.86667,30.83333,"[49.86667, 30.83333]"
Kaidun,12228,CR2,2000.0,Fell,1980-01-01,15.0,48.3,"[15.0, 48.3]"
Kainsaz,12229,CO3.2,200000.0,Fell,1937-01-01,55.43333,53.25,"[55.43333, 53.25]"
Kakangari,12230,K3,350.0,Fell,1890-01-01,12.38333,78.51667,"[12.38333, 78.51667]"
Kakowa,12231,L6,577.0,Fell,1858-01-01,45.13333,21.66667,"[45.13333, 21.66667]"
Kalaba,12232,H4,950.0,Fell,1951-01-01,-6.83333,29.5,"[-6.83333, 29.5]"
Kalumbi,12236,L6,4500.0,Fell,1879-01-01,17.83333,73.98333,"[17.83333, 73.98333]"
Kamalpur,12238,L6,2770.0,Fell,1942-01-01,26.03333,81.46667,"[26.03333, 81.46667]"
Kamiomi,12240,H5,448.0,Fell,1913-01-01,36.04167,139.95667,"[36.04167, 139.95667]"
Kamsagar,12241,L6,1293.0,Fell,1902-01-01,14.18333,75.8,"[14.18333, 75.8]"
Kandahar (Afghanistan),12243,L6,299.0,Fell,1959-01-01,31.6,65.78333,"[31.6, 65.78333]"
Kangean,12245,H5,1630.0,Fell,1908-01-01,-7.0,115.5,"[-7.0, 115.5]"
Kangra Valley,12246,H5,400.0,Fell,1897-01-01,32.08333,76.3,"[32.08333, 76.3]"
Kapoeta,12251,Howardite,11355.0,Fell,1942-01-01,4.7,33.63333,"[4.7, 33.63333]"
Kaprada,47357,L5/6,1600.0,Fell,2004-01-01,20.33916,73.22329,"[20.33916, 73.22329]"
Kaptal-Aryk,12253,L6,3500.0,Fell,1937-01-01,42.45,73.36667,"[42.45, 73.36667]"
Karakol,12256,LL6,3000.0,Fell,1840-01-01,47.21667,81.01667,"[47.21667, 81.01667]"
Karatu,12258,LL6,2220.0,Fell,1963-01-01,-3.5,35.58333,"[-3.5, 35.58333]"
Karewar,12260,L6,180.0,Fell,1949-01-01,12.9,7.15,"[12.9, 7.15]"
Karkh,12262,L6,22000.0,Fell,1905-01-01,27.8,67.16667,"[27.8, 67.16667]"
Karloowala,12263,L6,2950.0,Fell,1955-01-01,31.58333,71.6,"[31.58333, 71.6]"
Karoonda,12264,CK4,41730.0,Fell,1930-01-01,-35.08333,139.91667,"[-35.08333, 139.91667]"
Kasamatsu,12266,H,710.0,Fell,1938-01-01,35.36667,136.76667,"[35.36667, 136.76667]"
Kasauli,30740,H4,16820.0,Fell,2003-01-01,29.58333,77.58333,"[29.58333, 77.58333]"
Katagum,35465,L6,1500.0,Fell,1999-01-01,11.33333,10.08333,"[11.33333, 10.08333]"
Kavarpura,47351,"Iron, IIE-an",6800.0,Fell,2006-01-01,25.14333,75.81333,"[25.14333, 75.81333]"
Kayakent,12268,"Iron, IIIAB",85000.0,Fell,1961-01-01,39.26333,31.78,"[39.26333, 31.78]"
Kediri,12270,L4,3300.0,Fell,1940-01-01,-7.75,112.01667,"[-7.75, 112.01667]"
Kemer,53654,L4,5760.0,Fell,2008-01-01,36.54194,29.41822,"[36.54194, 29.41822]"
Kendleton,12275,L4,6937.0,Fell,1939-01-01,29.45,-96.0,"[29.45, -96.0]"
Kendrapara,12276,H4-5,6669.2,Fell,2003-01-01,20.4625,86.70278,"[20.4625, 86.70278]"
Kerilis,12282,H5,5000.0,Fell,1874-01-01,48.4,-3.3,"[48.4, -3.3]"
Kernouve,12284,H6,80000.0,Fell,1869-01-01,48.11667,-3.08333,"[48.11667, -3.08333]"
Kesen,12286,H4,135000.0,Fell,1850-01-01,38.98333,141.61667,"[38.98333, 141.61667]"
Khairpur,12288,EL6,13600.0,Fell,1873-01-01,29.53333,72.3,"[29.53333, 72.3]"
Khanpur,12289,LL5,3698.0,Fell,1932-01-01,25.55,83.11667,"[25.55, 83.11667]"
Kharkov,12291,L6,1500.0,Fell,1787-01-01,50.625,35.075,"[50.625, 35.075]"
Kheragur,12294,L6,450.0,Fell,1860-01-01,26.95,77.88333,"[26.95, 77.88333]"
Khetri,12296,H6,100.0,Fell,1867-01-01,28.01667,75.81667,"[28.01667, 75.81667]"
Khmelevka,12297,L5,6109.0,Fell,1929-01-01,56.75,75.33333,"[56.75, 75.33333]"
Khohar,12298,L3.6,9700.0,Fell,1910-01-01,25.1,81.53333,"[25.1, 81.53333]"
Khor Temiki,12299,Aubrite,3200.0,Fell,1932-01-01,16.0,36.0,"[16.0, 36.0]"
Kidairat,12300,H6,100000.0,Fell,1983-01-01,14.0,28.0,"[14.0, 28.0]"
Kiel,12301,L6,737.6,Fell,1962-01-01,54.4,10.15,"[54.4, 10.15]"
Kiffa,12303,H5,1500.0,Fell,1970-01-01,16.58333,-11.33333,"[16.58333, -11.33333]"
Kijima (1906),12305,Stone-uncl,331.0,Fell,1906-01-01,36.85,138.38333,"[36.85, 138.38333]"
Kikino,12306,H6,195.0,Fell,1809-01-01,55.0,34.0,"[55.0, 34.0]"
Kilabo,12307,LL6,19000.0,Fell,2002-01-01,12.76667,9.8,"[12.76667, 9.8]"
Kilbourn,12308,H5,772.0,Fell,1911-01-01,43.58333,-89.6,"[43.58333, -89.6]"
Killeter,12309,H6,140.0,Fell,1844-01-01,54.66667,-7.66667,"[54.66667, -7.66667]"
Kingai,12316,H6,67.4,Fell,1967-01-01,11.63333,24.68333,"[11.63333, 24.68333]"
Kirbyville,12321,Eucrite-mmict,97.7,Fell,1906-01-01,30.75,-95.95,"[30.75, -95.95]"
Kisvarsány,12325,L6,1550.0,Fell,1914-01-01,48.16667,22.30833,"[48.16667, 22.30833]"
Kitchener,12326,L6,202.6,Fell,1998-01-01,43.38333,-80.38333,"[43.38333, -80.38333]"
Klein-Wenden,12332,H6,3250.0,Fell,1843-01-01,51.6,10.8,"[51.6, 10.8]"
Knyahinya,12335,L/LL5,500000.0,Fell,1866-01-01,48.9,22.4,"[48.9, 22.4]"
Kobe,12336,CK4,136.0,Fell,1999-01-01,34.73333,135.16667,"[34.73333, 135.16667]"
Kokubunji,12342,L6,11510.0,Fell,1986-01-01,34.3,133.95,"[34.3, 133.95]"
Komagome,12343,Iron,238.0,Fell,1926-01-01,35.73333,139.75,"[35.73333, 139.75]"
Konovo,12344,LL5,90.0,Fell,1931-01-01,42.51667,26.16667,"[42.51667, 26.16667]"
Košice,53810,H5,4300.0,Fell,2010-01-01,48.76367,21.17633,"[48.76367, 21.17633]"
Krähenberg,12353,LL5,16500.0,Fell,1869-01-01,49.32694,7.46472,"[49.32694, 7.46472]"
Krasnoi-Ugol,12355,L6,2440.0,Fell,1829-01-01,54.03333,40.9,"[54.03333, 40.9]"
Krasnyi Klyuch,12357,H5,4000.0,Fell,1946-01-01,54.33333,56.08333,"[54.33333, 56.08333]"
Krutikha,12363,OC,845.2,Fell,1906-01-01,56.8,77.0,"[56.8, 77.0]"
Krymka,12364,LL3.2,50000.0,Fell,1946-01-01,47.83333,30.76667,"[47.83333, 30.76667]"
